scientificname,group,basetree
Andinophryne colomai,Amphibians,amphibiantree
Andinophryne olallai,Amphibians,amphibiantree
Andrias davidianus,Amphibians,amphibiantree
Andrias japonicus,Amphibians,amphibiantree
Aneides aeneus,Amphibians,amphibiantree
Aneides ferreus,Amphibians,amphibiantree
Aneides flavipunctatus,Amphibians,amphibiantree
Aneides hardii,Amphibians,amphibiantree
Aneides lugubris,Amphibians,amphibiantree
Aneides vagrans,Amphibians,amphibiantree
Anhydrophryne hewitti,Amphibians,amphibiantree
Anhydrophryne ngongoniensis,Amphibians,amphibiantree
Anhydrophryne rattrayi,Amphibians,amphibiantree
Anodonthyla boulengerii,Amphibians,amphibiantree
Anodonthyla emilei,Amphibians,amphibiantree
Anodonthyla hutchisoni,Amphibians,amphibiantree
Anodonthyla jeanbai,Amphibians,amphibiantree
Anodonthyla montana,Amphibians,amphibiantree
Anodonthyla moramora,Amphibians,amphibiantree
Anodonthyla nigrigularis,Amphibians,amphibiantree
Anodonthyla pollicaris,Amphibians,amphibiantree
Anodonthyla rouxae,Amphibians,amphibiantree
Anodonthyla theoi,Amphibians,amphibiantree
Anodonthyla vallani,Amphibians,amphibiantree
Anomaloglossus astralogaster,Amphibians,amphibiantree
Anomaloglossus atopoglossus,Amphibians,amphibiantree
Anomaloglossus ayarzaguenai,Amphibians,amphibiantree
Anomaloglossus baeobatrachus,Amphibians,amphibiantree
Anomaloglossus beebei,Amphibians,amphibiantree
Anomaloglossus breweri,Amphibians,amphibiantree
Anomaloglossus confusus,Amphibians,amphibiantree
Anomaloglossus degranvillei,Amphibians,amphibiantree
Anomaloglossus guanayensis,Amphibians,amphibiantree
Anomaloglossus isthminus,Amphibians,amphibiantree
Anomaloglossus kaiei,Amphibians,amphibiantree
Anomaloglossus lacrimosus,Amphibians,amphibiantree
Anomaloglossus leopardus,Amphibians,amphibiantree
Anomaloglossus moffetti,Amphibians,amphibiantree
Anomaloglossus murisipanensis,Amphibians,amphibiantree
Anomaloglossus parimae,Amphibians,amphibiantree
Anomaloglossus parkerae,Amphibians,amphibiantree
Anomaloglossus praderioi,Amphibians,amphibiantree
Anomaloglossus roraima,Amphibians,amphibiantree
Anomaloglossus rufulus,Amphibians,amphibiantree
Anomaloglossus shrevei,Amphibians,amphibiantree
Anomaloglossus stepheni,Amphibians,amphibiantree
Anomaloglossus surinamensis,Amphibians,amphibiantree
Anomaloglossus tamacuarensis,Amphibians,amphibiantree
Anomaloglossus tepuyensis,Amphibians,amphibiantree
Anomaloglossus triunfo,Amphibians,amphibiantree
Anomaloglossus verbeeksnyderorum,Amphibians,amphibiantree
Anomaloglossus wothuja,Amphibians,amphibiantree
Anotheca spinosa,Amphibians,amphibiantree
Ansonia albomaculata,Amphibians,amphibiantree
Ansonia echinata,Amphibians,amphibiantree
Ansonia endauensis,Amphibians,amphibiantree
Ansonia fuliginea,Amphibians,amphibiantree
Ansonia glandulosa,Amphibians,amphibiantree
Ansonia guibei,Amphibians,amphibiantree
Ansonia hanitschi,Amphibians,amphibiantree
Ansonia inthanon,Amphibians,amphibiantree
Ansonia jeetsukumarani,Amphibians,amphibiantree
Ansonia kraensis,Amphibians,amphibiantree
Ansonia latidisca,Amphibians,amphibiantree
Ansonia latiffi,Amphibians,amphibiantree
Ansonia latirostra,Amphibians,amphibiantree
Ansonia leptopus,Amphibians,amphibiantree
Ansonia longidigita,Amphibians,amphibiantree
Ansonia lumut,Amphibians,amphibiantree
Ansonia malayana,Amphibians,amphibiantree
Ansonia mcgregori,Amphibians,amphibiantree
Ansonia minuta,Amphibians,amphibiantree
Ansonia muelleri,Amphibians,amphibiantree
Ansonia penangensis,Amphibians,amphibiantree
Ansonia platysoma,Amphibians,amphibiantree
Ansonia siamensis,Amphibians,amphibiantree
Ansonia spinulifer,Amphibians,amphibiantree
Ansonia thinthinae,Amphibians,amphibiantree
Ansonia tiomanica,Amphibians,amphibiantree
Ansonia torrentis,Amphibians,amphibiantree
Aparasphenodon arapapa,Amphibians,amphibiantree
Aparasphenodon bokermanni,Amphibians,amphibiantree
Aparasphenodon brunoi,Amphibians,amphibiantree
Aparasphenodon pomba,Amphibians,amphibiantree
